"Title","CPIH INDEX 04.5.1 : ELECTRICITY 2015=100"
"CDID","L53E"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-09-2022"
"Next release","19 October 2022"
"Important notes",
"1988","34.9"
"1989","37.4"
"1990","40.4"
"1991","44.5"
"1992","46.8"
"1993","46.7"
"1994","48.2"
"1995","48.9"
"1996","48.7"
"1997","46.3"
"1998","44.2"
"1999","43.7"
"2000","42.8"
"2001","42.4"
"2002","42.6"
"2003","43.0"
"2004","45.6"
"2005","50.4"
"2006","61.4"
"2007","66.3"
"2008","76.6"
"2009","80.1"
"2010","78.1"
"2011","83.8"
"2012","88.5"
"2013","95.1"
"2014","100.3"
"2015","100.0"
"2016","99.8"
"2017","106.5"
"2018","115.7"
"2019","124.1"
"2020","124.3"
"2021","132.5"
"1988 Q1","33.1"
"1988 Q2","34.5"
"1988 Q3","35.9"
"1988 Q4","35.9"
"1989 Q1","35.9"
"1989 Q2","37.1"
"1989 Q3","38.3"
"1989 Q4","38.3"
"1990 Q1","38.3"
"1990 Q2","40.0"
"1990 Q3","41.8"
"1990 Q4","41.8"
"1991 Q1","41.8"
"1991 Q2","43.9"
"1991 Q3","46.2"
"1991 Q4","46.2"
"1992 Q1","46.2"
"1992 Q2","46.6"
"1992 Q3","47.2"
"1992 Q4","47.2"
"1993 Q1","47.2"
"1993 Q2","46.8"
"1993 Q3","46.4"
"1993 Q4","46.3"
"1994 Q1","45.8"
"1994 Q2","48.9"
"1994 Q3","49.2"
"1994 Q4","48.9"
"1995 Q1","48.9"
"1995 Q2","48.8"
"1995 Q3","48.9"
"1995 Q4","48.8"
"1996 Q1","48.8"
"1996 Q2","48.9"
"1996 Q3","48.9"
"1996 Q4","48.0"
"1997 Q1","47.4"
"1997 Q2","47.2"
"1997 Q3","46.1"
"1997 Q4","44.6"
"1998 Q1","44.6"
"1998 Q2","44.5"
"1998 Q3","43.8"
"1998 Q4","43.8"
"1999 Q1","43.8"
"1999 Q2","43.7"
"1999 Q3","43.6"
"1999 Q4","43.6"
"2000 Q1","43.6"
"2000 Q2","43.0"
"2000 Q3","42.3"
"2000 Q4","42.3"
"2001 Q1","42.3"
"2001 Q2","42.3"
"2001 Q3","42.4"
"2001 Q4","42.5"
"2002 Q1","42.5"
"2002 Q2","42.6"
"2002 Q3","42.6"
"2002 Q4","42.6"
"2003 Q1","42.7"
"2003 Q2","42.8"
"2003 Q3","43.2"
"2003 Q4","43.4"
"2004 Q1","44.1"
"2004 Q2","45.2"
"2004 Q3","45.8"
"2004 Q4","47.2"
"2005 Q1","49.2"
"2005 Q2","49.8"
"2005 Q3","50.2"
"2005 Q4","52.6"
"2006 Q1","54.7"
"2006 Q2","60.4"
"2006 Q3","63.4"
"2006 Q4","66.9"
"2007 Q1","68.3"
"2007 Q2","67.0"
"2007 Q3","65.0"
"2007 Q4","64.8"
"2008 Q1","69.7"
"2008 Q2","73.5"
"2008 Q3","78.2"
"2008 Q4","85.1"
"2009 Q1","84.8"
"2009 Q2","79.0"
"2009 Q3","78.5"
"2009 Q4","78.2"
"2010 Q1","78.2"
"2010 Q2","78.0"
"2010 Q3","78.0"
"2010 Q4","78.2"
"2011 Q1","80.4"
"2011 Q2","81.2"
"2011 Q3","83.8"
"2011 Q4","89.7"
"2012 Q1","88.8"
"2012 Q2","87.7"
"2012 Q3","87.7"
"2012 Q4","89.9"
"2013 Q1","94.1"
"2013 Q2","94.5"
"2013 Q3","94.8"
"2013 Q4","96.9"
"2014 Q1","100.9"
"2014 Q2","100.2"
"2014 Q3","100.2"
"2014 Q4","100.2"
"2015 Q1","100.2"
"2015 Q2","99.9"
"2015 Q3","99.9"
"2015 Q4","99.9"
"2016 Q1","99.9"
"2016 Q2","99.7"
"2016 Q3","99.7"
"2016 Q4","99.7"
"2017 Q1","100.1"
"2017 Q2","106.0"
"2017 Q3","108.7"
"2017 Q4","111.1"
"2018 Q1","111.1"
"2018 Q2","113.0"
"2018 Q3","117.4"
"2018 Q4","121.2"
"2019 Q1","115.3"
"2019 Q2","127.9"
"2019 Q3","127.9"
"2019 Q4","125.2"
"2020 Q1","125.2"
"2020 Q2","125.4"
"2020 Q3","125.3"
"2020 Q4","121.2"
"2021 Q1","121.2"
"2021 Q2","132.3"
"2021 Q3","132.5"
"2021 Q4","144.0"
"2022 Q1","144.5"
"2022 Q2","203.2"
"1988 JAN","33.1"
"1988 FEB","33.1"
"1988 MAR","33.1"
"1988 APR","33.7"
"1988 MAY","34.6"
"1988 JUN","35.4"
"1988 JUL","35.9"
"1988 AUG","35.9"
"1988 SEP","35.9"
"1988 OCT","35.9"
"1988 NOV","35.9"
"1988 DEC","35.9"
"1989 JAN","35.9"
"1989 FEB","35.9"
"1989 MAR","35.9"
"1989 APR","36.4"
"1989 MAY","37.1"
"1989 JUN","37.9"
"1989 JUL","38.3"
"1989 AUG","38.3"
"1989 SEP","38.3"
"1989 OCT","38.3"
"1989 NOV","38.3"
"1989 DEC","38.3"
"1990 JAN","38.3"
"1990 FEB","38.3"
"1990 MAR","38.3"
"1990 APR","38.7"
"1990 MAY","40.1"
"1990 JUN","41.1"
"1990 JUL","41.8"
"1990 AUG","41.8"
"1990 SEP","41.8"
"1990 OCT","41.8"
"1990 NOV","41.8"
"1990 DEC","41.8"
"1991 JAN","41.8"
"1991 FEB","41.8"
"1991 MAR","41.8"
"1991 APR","42.5"
"1991 MAY","43.9"
"1991 JUN","45.3"
"1991 JUL","46.2"
"1991 AUG","46.2"
"1991 SEP","46.2"
"1991 OCT","46.2"
"1991 NOV","46.2"
"1991 DEC","46.2"
"1992 JAN","46.2"
"1992 FEB","46.2"
"1992 MAR","46.2"
"1992 APR","46.3"
"1992 MAY","46.6"
"1992 JUN","47.0"
"1992 JUL","47.2"
"1992 AUG","47.2"
"1992 SEP","47.2"
"1992 OCT","47.2"
"1992 NOV","47.2"
"1992 DEC","47.2"
"1993 JAN","47.2"
"1993 FEB","47.2"
"1993 MAR","47.2"
"1993 APR","47.1"
"1993 MAY","46.7"
"1993 JUN","46.5"
"1993 JUL","46.3"
"1993 AUG","46.3"
"1993 SEP","46.4"
"1993 OCT","46.4"
"1993 NOV","46.3"
"1993 DEC","46.2"
"1994 JAN","46.1"
"1994 FEB","45.8"
"1994 MAR","45.6"
"1994 APR","49.1"
"1994 MAY","48.9"
"1994 JUN","48.8"
"1994 JUL","49.1"
"1994 AUG","49.3"
"1994 SEP","49.2"
"1994 OCT","49.0"
"1994 NOV","48.9"
"1994 DEC","48.9"
"1995 JAN","49.0"
"1995 FEB","48.9"
"1995 MAR","48.9"
"1995 APR","48.9"
"1995 MAY","48.8"
"1995 JUN","48.8"
"1995 JUL","48.9"
"1995 AUG","48.9"
"1995 SEP","48.9"
"1995 OCT","48.8"
"1995 NOV","48.8"
"1995 DEC","48.8"
"1996 JAN","48.8"
"1996 FEB","48.8"
"1996 MAR","48.8"
"1996 APR","48.8"
"1996 MAY","48.9"
"1996 JUN","49.1"
"1996 JUL","49.2"
"1996 AUG","49.0"
"1996 SEP","48.7"
"1996 OCT","48.2"
"1996 NOV","47.9"
"1996 DEC","47.7"
"1997 JAN","47.2"
"1997 FEB","47.4"
"1997 MAR","47.6"
"1997 APR","47.5"
"1997 MAY","47.2"
"1997 JUN","46.9"
"1997 JUL","46.6"
"1997 AUG","46.5"
"1997 SEP","45.1"
"1997 OCT","45.0"
"1997 NOV","44.6"
"1997 DEC","44.3"
"1998 JAN","44.2"
"1998 FEB","44.6"
"1998 MAR","45.0"
"1998 APR","45.0"
"1998 MAY","44.5"
"1998 JUN","44.1"
"1998 JUL","43.8"
"1998 AUG","43.8"
"1998 SEP","43.8"
"1998 OCT","43.8"
"1998 NOV","43.8"
"1998 DEC","43.8"
"1999 JAN","43.8"
"1999 FEB","43.8"
"1999 MAR","43.8"
"1999 APR","43.8"
"1999 MAY","43.7"
"1999 JUN","43.7"
"1999 JUL","43.6"
"1999 AUG","43.6"
"1999 SEP","43.6"
"1999 OCT","43.6"
"1999 NOV","43.6"
"1999 DEC","43.6"
"2000 JAN","43.6"
"2000 FEB","43.6"
"2000 MAR","43.5"
"2000 APR","43.4"
"2000 MAY","43.0"
"2000 JUN","42.6"
"2000 JUL","42.3"
"2000 AUG","42.3"
"2000 SEP","42.3"
"2000 OCT","42.3"
"2000 NOV","42.3"
"2000 DEC","42.3"
"2001 JAN","42.3"
"2001 FEB","42.3"
"2001 MAR","42.3"
"2001 APR","42.3"
"2001 MAY","42.3"
"2001 JUN","42.4"
"2001 JUL","42.4"
"2001 AUG","42.4"
"2001 SEP","42.5"
"2001 OCT","42.5"
"2001 NOV","42.5"
"2001 DEC","42.5"
"2002 JAN","42.5"
"2002 FEB","42.5"
"2002 MAR","42.5"
"2002 APR","42.5"
"2002 MAY","42.6"
"2002 JUN","42.6"
"2002 JUL","42.6"
"2002 AUG","42.6"
"2002 SEP","42.6"
"2002 OCT","42.6"
"2002 NOV","42.6"
"2002 DEC","42.6"
"2003 JAN","42.7"
"2003 FEB","42.7"
"2003 MAR","42.7"
"2003 APR","42.7"
"2003 MAY","42.8"
"2003 JUN","42.9"
"2003 JUL","43.0"
"2003 AUG","43.2"
"2003 SEP","43.3"
"2003 OCT","43.3"
"2003 NOV","43.4"
"2003 DEC","43.5"
"2004 JAN","43.7"
"2004 FEB","44.0"
"2004 MAR","44.5"
"2004 APR","45.0"
"2004 MAY","45.2"
"2004 JUN","45.5"
"2004 JUL","45.6"
"2004 AUG","45.7"
"2004 SEP","45.9"
"2004 OCT","46.4"
"2004 NOV","47.2"
"2004 DEC","48.1"
"2005 JAN","48.8"
"2005 FEB","49.2"
"2005 MAR","49.5"
"2005 APR","49.7"
"2005 MAY","49.8"
"2005 JUN","49.9"
"2005 JUL","49.9"
"2005 AUG","50.0"
"2005 SEP","50.6"
"2005 OCT","51.7"
"2005 NOV","52.8"
"2005 DEC","53.3"
"2006 JAN","53.8"
"2006 FEB","54.4"
"2006 MAR","55.9"
"2006 APR","58.3"
"2006 MAY","60.7"
"2006 JUN","62.2"
"2006 JUL","62.8"
"2006 AUG","63.3"
"2006 SEP","64.1"
"2006 OCT","65.8"
"2006 NOV","67.1"
"2006 DEC","67.9"
"2007 JAN","68.2"
"2007 FEB","68.4"
"2007 MAR","68.4"
"2007 APR","67.8"
"2007 MAY","67.0"
"2007 JUN","66.1"
"2007 JUL","65.3"
"2007 AUG","64.9"
"2007 SEP","64.9"
"2007 OCT","64.8"
"2007 NOV","64.8"
"2007 DEC","64.8"
"2008 JAN","65.1"
"2008 FEB","72.0"
"2008 MAR","72.0"
"2008 APR","73.5"
"2008 MAY","73.5"
"2008 JUN","73.5"
"2008 JUL","73.5"
"2008 AUG","76.6"
"2008 SEP","84.5"
"2008 OCT","85.1"
"2008 NOV","85.1"
"2008 DEC","85.1"
"2009 JAN","84.9"
"2009 FEB","84.9"
"2009 MAR","84.5"
"2009 APR","80.2"
"2009 MAY","78.5"
"2009 JUN","78.5"
"2009 JUL","78.5"
"2009 AUG","78.5"
"2009 SEP","78.5"
"2009 OCT","78.2"
"2009 NOV","78.2"
"2009 DEC","78.2"
"2010 JAN","78.2"
"2010 FEB","78.2"
"2010 MAR","78.2"
"2010 APR","78.0"
"2010 MAY","78.0"
"2010 JUN","78.0"
"2010 JUL","78.0"
"2010 AUG","78.0"
"2010 SEP","78.0"
"2010 OCT","77.8"
"2010 NOV","77.8"
"2010 DEC","78.8"
"2011 JAN","79.4"
"2011 FEB","80.6"
"2011 MAR","81.2"
"2011 APR","81.2"
"2011 MAY","81.2"
"2011 JUN","81.2"
"2011 JUL","81.2"
"2011 AUG","82.0"
"2011 SEP","88.1"
"2011 OCT","89.4"
"2011 NOV","89.9"
"2011 DEC","89.9"
"2012 JAN","89.9"
"2012 FEB","88.8"
"2012 MAR","87.8"
"2012 APR","87.8"
"2012 MAY","87.7"
"2012 JUN","87.7"
"2012 JUL","87.7"
"2012 AUG","87.7"
"2012 SEP","87.7"
"2012 OCT","87.3"
"2012 NOV","88.9"
"2012 DEC","93.4"
"2013 JAN","93.4"
"2013 FEB","94.5"
"2013 MAR","94.5"
"2013 APR","94.5"
"2013 MAY","94.5"
"2013 JUN","94.5"
"2013 JUL","94.8"
"2013 AUG","94.8"
"2013 SEP","94.8"
"2013 OCT","94.8"
"2013 NOV","94.8"
"2013 DEC","101.0"
"2014 JAN","100.8"
"2014 FEB","101.0"
"2014 MAR","100.8"
"2014 APR","100.2"
"2014 MAY","100.2"
"2014 JUN","100.2"
"2014 JUL","100.2"
"2014 AUG","100.2"
"2014 SEP","100.2"
"2014 OCT","100.2"
"2014 NOV","100.2"
"2014 DEC","100.2"
"2015 JAN","100.2"
"2015 FEB","100.2"
"2015 MAR","100.2"
"2015 APR","100.0"
"2015 MAY","100.0"
"2015 JUN","99.9"
"2015 JUL","99.9"
"2015 AUG","99.9"
"2015 SEP","99.9"
"2015 OCT","99.9"
"2015 NOV","99.9"
"2015 DEC","99.9"
"2016 JAN","99.9"
"2016 FEB","99.9"
"2016 MAR","99.9"
"2016 APR","99.7"
"2016 MAY","99.7"
"2016 JUN","99.7"
"2016 JUL","99.7"
"2016 AUG","99.7"
"2016 SEP","99.7"
"2016 OCT","99.7"
"2016 NOV","99.7"
"2016 DEC","99.7"
"2017 JAN","99.7"
"2017 FEB","99.7"
"2017 MAR","100.7"
"2017 APR","103.2"
"2017 MAY","107.4"
"2017 JUN","107.4"
"2017 JUL","108.7"
"2017 AUG","108.7"
"2017 SEP","108.7"
"2017 OCT","111.1"
"2017 NOV","111.1"
"2017 DEC","111.1"
"2018 JAN","111.1"
"2018 FEB","111.1"
"2018 MAR","111.1"
"2018 APR","112.1"
"2018 MAY","112.2"
"2018 JUN","114.7"
"2018 JUL","116.7"
"2018 AUG","116.7"
"2018 SEP","118.8"
"2018 OCT","121.2"
"2018 NOV","121.2"
"2018 DEC","121.2"
"2019 JAN","115.3"
"2019 FEB","115.4"
"2019 MAR","115.4"
"2019 APR","127.9"
"2019 MAY","127.9"
"2019 JUN","127.9"
"2019 JUL","127.9"
"2019 AUG","127.9"
"2019 SEP","127.9"
"2019 OCT","125.2"
"2019 NOV","125.2"
"2019 DEC","125.2"
"2020 JAN","125.2"
"2020 FEB","125.2"
"2020 MAR","125.2"
"2020 APR","125.4"
"2020 MAY","125.4"
"2020 JUN","125.4"
"2020 JUL","125.3"
"2020 AUG","125.3"
"2020 SEP","125.3"
"2020 OCT","121.2"
"2020 NOV","121.2"
"2020 DEC","121.2"
"2021 JAN","121.2"
"2021 FEB","121.2"
"2021 MAR","121.2"
"2021 APR","132.3"
"2021 MAY","132.3"
"2021 JUN","132.3"
"2021 JUL","132.5"
"2021 AUG","132.5"
"2021 SEP","132.5"
"2021 OCT","144.0"
"2021 NOV","144.0"
"2021 DEC","144.0"
"2022 JAN","144.5"
"2022 FEB","144.5"
"2022 MAR","144.5"
"2022 APR","203.2"
"2022 MAY","203.2"
"2022 JUN","203.2"
"2022 JUL","204.1"
"2022 AUG","204.1"
