"Title","CPIH INDEX 04.5.2 : GAS 2015=100"
"CDID","L53F"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","20-07-2022"
"Next release","17 August 2022"
"Important notes",
"1988","26.1"
"1989","27.2"
"1990","29.1"
"1991","31.1"
"1992","31.0"
"1993","29.9"
"1994","31.7"
"1995","32.7"
"1996","32.8"
"1997","32.5"
"1998","31.4"
"1999","31.4"
"2000","30.7"
"2001","31.6"
"2002","33.6"
"2003","34.3"
"2004","36.7"
"2005","41.9"
"2006","55.0"
"2007","59.3"
"2008","70.8"
"2009","80.3"
"2010","75.8"
"2011","84.1"
"2012","92.9"
"2013","100.0"
"2014","104.7"
"2015","100.0"
"2016","94.1"
"2017","93.0"
"2018","96.6"
"2019","96.1"
"2020","86.5"
"2021","86.7"
"1988 Q1","25.2"
"1988 Q2","25.9"
"1988 Q3","26.7"
"1988 Q4","26.7"
"1989 Q1","26.7"
"1989 Q2","27.1"
"1989 Q3","27.5"
"1989 Q4","27.5"
"1990 Q1","27.7"
"1990 Q2","29.2"
"1990 Q3","29.6"
"1990 Q4","29.8"
"1991 Q1","30.5"
"1991 Q2","31.0"
"1991 Q3","31.5"
"1991 Q4","31.5"
"1992 Q1","31.5"
"1992 Q2","31.5"
"1992 Q3","31.0"
"1992 Q4","30.2"
"1993 Q1","29.9"
"1993 Q2","29.9"
"1993 Q3","29.9"
"1993 Q4","29.9"
"1994 Q1","29.9"
"1994 Q2","32.3"
"1994 Q3","32.3"
"1994 Q4","32.3"
"1995 Q1","32.5"
"1995 Q2","32.8"
"1995 Q3","32.8"
"1995 Q4","32.8"
"1996 Q1","32.8"
"1996 Q2","32.8"
"1996 Q3","32.8"
"1996 Q4","32.8"
"1997 Q1","32.8"
"1997 Q2","32.7"
"1997 Q3","32.5"
"1997 Q4","31.9"
"1998 Q1","31.4"
"1998 Q2","31.4"
"1998 Q3","31.4"
"1998 Q4","31.4"
"1999 Q1","31.6"
"1999 Q2","31.3"
"1999 Q3","31.3"
"1999 Q4","31.3"
"2000 Q1","31.3"
"2000 Q2","30.5"
"2000 Q3","30.5"
"2000 Q4","30.6"
"2001 Q1","30.7"
"2001 Q2","31.9"
"2001 Q3","32.0"
"2001 Q4","32.0"
"2002 Q1","33.4"
"2002 Q2","33.6"
"2002 Q3","33.7"
"2002 Q4","33.7"
"2003 Q1","33.8"
"2003 Q2","34.1"
"2003 Q3","34.5"
"2003 Q4","34.7"
"2004 Q1","35.4"
"2004 Q2","36.3"
"2004 Q3","36.6"
"2004 Q4","38.4"
"2005 Q1","40.6"
"2005 Q2","41.0"
"2005 Q3","41.4"
"2005 Q4","44.7"
"2006 Q1","46.9"
"2006 Q2","53.5"
"2006 Q3","57.1"
"2006 Q4","62.7"
"2007 Q1","64.3"
"2007 Q2","60.3"
"2007 Q3","56.6"
"2007 Q4","55.9"
"2008 Q1","60.9"
"2008 Q2","64.5"
"2008 Q3","73.6"
"2008 Q4","84.1"
"2009 Q1","82.9"
"2009 Q2","79.7"
"2009 Q3","79.3"
"2009 Q4","79.2"
"2010 Q1","77.8"
"2010 Q2","74.8"
"2010 Q3","74.8"
"2010 Q4","75.9"
"2011 Q1","79.3"
"2011 Q2","79.6"
"2011 Q3","84.0"
"2011 Q4","93.4"
"2012 Q1","93.0"
"2012 Q2","91.9"
"2012 Q3","91.9"
"2012 Q4","94.7"
"2013 Q1","99.2"
"2013 Q2","99.5"
"2013 Q3","99.5"
"2013 Q4","101.7"
"2014 Q1","105.2"
"2014 Q2","104.6"
"2014 Q3","104.6"
"2014 Q4","104.6"
"2015 Q1","102.7"
"2015 Q2","100.2"
"2015 Q3","99.3"
"2015 Q4","97.8"
"2016 Q1","96.5"
"2016 Q2","93.3"
"2016 Q3","93.3"
"2016 Q4","93.3"
"2017 Q1","92.9"
"2017 Q2","92.7"
"2017 Q3","93.3"
"2017 Q4","93.3"
"2018 Q1","93.5"
"2018 Q2","94.6"
"2018 Q3","97.7"
"2018 Q4","100.4"
"2019 Q1","91.9"
"2019 Q2","100.5"
"2019 Q3","100.5"
"2019 Q4","91.7"
"2020 Q1","91.7"
"2020 Q2","88.5"
"2020 Q3","88.4"
"2020 Q4","77.6"
"2021 Q1","77.6"
"2021 Q2","84.9"
"2021 Q3","84.9"
"2021 Q4","99.4"
"2022 Q1","99.5"
"2022 Q2","165.9"
"1988 JAN","25.2"
"1988 FEB","25.2"
"1988 MAR","25.2"
"1988 APR","25.4"
"1988 MAY","25.9"
"1988 JUN","26.4"
"1988 JUL","26.7"
"1988 AUG","26.7"
"1988 SEP","26.7"
"1988 OCT","26.7"
"1988 NOV","26.7"
"1988 DEC","26.7"
"1989 JAN","26.7"
"1989 FEB","26.7"
"1989 MAR","26.7"
"1989 APR","26.8"
"1989 MAY","27.1"
"1989 JUN","27.4"
"1989 JUL","27.5"
"1989 AUG","27.5"
"1989 SEP","27.5"
"1989 OCT","27.5"
"1989 NOV","27.5"
"1989 DEC","27.5"
"1990 JAN","27.6"
"1990 FEB","27.6"
"1990 MAR","27.9"
"1990 APR","28.6"
"1990 MAY","29.3"
"1990 JUN","29.6"
"1990 JUL","29.6"
"1990 AUG","29.6"
"1990 SEP","29.6"
"1990 OCT","29.6"
"1990 NOV","29.8"
"1990 DEC","30.0"
"1991 JAN","30.4"
"1991 FEB","30.6"
"1991 MAR","30.6"
"1991 APR","30.7"
"1991 MAY","31.0"
"1991 JUN","31.3"
"1991 JUL","31.5"
"1991 AUG","31.5"
"1991 SEP","31.5"
"1991 OCT","31.5"
"1991 NOV","31.5"
"1991 DEC","31.5"
"1992 JAN","31.5"
"1992 FEB","31.5"
"1992 MAR","31.5"
"1992 APR","31.5"
"1992 MAY","31.5"
"1992 JUN","31.5"
"1992 JUL","31.3"
"1992 AUG","31.0"
"1992 SEP","30.7"
"1992 OCT","30.4"
"1992 NOV","30.2"
"1992 DEC","30.0"
"1993 JAN","29.9"
"1993 FEB","29.9"
"1993 MAR","29.9"
"1993 APR","29.9"
"1993 MAY","29.9"
"1993 JUN","29.9"
"1993 JUL","29.9"
"1993 AUG","29.9"
"1993 SEP","29.9"
"1993 OCT","29.9"
"1993 NOV","29.9"
"1993 DEC","29.9"
"1994 JAN","29.9"
"1994 FEB","29.9"
"1994 MAR","29.9"
"1994 APR","32.3"
"1994 MAY","32.3"
"1994 JUN","32.3"
"1994 JUL","32.3"
"1994 AUG","32.3"
"1994 SEP","32.3"
"1994 OCT","32.3"
"1994 NOV","32.3"
"1994 DEC","32.3"
"1995 JAN","32.4"
"1995 FEB","32.5"
"1995 MAR","32.7"
"1995 APR","32.8"
"1995 MAY","32.8"
"1995 JUN","32.8"
"1995 JUL","32.8"
"1995 AUG","32.8"
"1995 SEP","32.8"
"1995 OCT","32.8"
"1995 NOV","32.8"
"1995 DEC","32.8"
"1996 JAN","32.8"
"1996 FEB","32.8"
"1996 MAR","32.8"
"1996 APR","32.8"
"1996 MAY","32.8"
"1996 JUN","32.8"
"1996 JUL","32.8"
"1996 AUG","32.8"
"1996 SEP","32.8"
"1996 OCT","32.8"
"1996 NOV","32.8"
"1996 DEC","32.8"
"1997 JAN","32.8"
"1997 FEB","32.8"
"1997 MAR","32.8"
"1997 APR","32.7"
"1997 MAY","32.7"
"1997 JUN","32.7"
"1997 JUL","32.7"
"1997 AUG","32.7"
"1997 SEP","31.9"
"1997 OCT","31.9"
"1997 NOV","31.9"
"1997 DEC","31.9"
"1998 JAN","31.5"
"1998 FEB","31.5"
"1998 MAR","31.4"
"1998 APR","31.4"
"1998 MAY","31.4"
"1998 JUN","31.3"
"1998 JUL","31.4"
"1998 AUG","31.4"
"1998 SEP","31.4"
"1998 OCT","31.4"
"1998 NOV","31.4"
"1998 DEC","31.4"
"1999 JAN","31.5"
"1999 FEB","31.5"
"1999 MAR","31.6"
"1999 APR","31.3"
"1999 MAY","31.3"
"1999 JUN","31.3"
"1999 JUL","31.3"
"1999 AUG","31.3"
"1999 SEP","31.3"
"1999 OCT","31.3"
"1999 NOV","31.3"
"1999 DEC","31.3"
"2000 JAN","31.3"
"2000 FEB","31.3"
"2000 MAR","31.3"
"2000 APR","30.5"
"2000 MAY","30.5"
"2000 JUN","30.5"
"2000 JUL","30.5"
"2000 AUG","30.5"
"2000 SEP","30.5"
"2000 OCT","30.6"
"2000 NOV","30.6"
"2000 DEC","30.6"
"2001 JAN","30.6"
"2001 FEB","30.7"
"2001 MAR","30.7"
"2001 APR","31.9"
"2001 MAY","32.0"
"2001 JUN","32.0"
"2001 JUL","32.0"
"2001 AUG","32.0"
"2001 SEP","32.0"
"2001 OCT","32.0"
"2001 NOV","32.0"
"2001 DEC","32.0"
"2002 JAN","33.4"
"2002 FEB","33.4"
"2002 MAR","33.5"
"2002 APR","33.6"
"2002 MAY","33.6"
"2002 JUN","33.7"
"2002 JUL","33.7"
"2002 AUG","33.7"
"2002 SEP","33.7"
"2002 OCT","33.7"
"2002 NOV","33.7"
"2002 DEC","33.8"
"2003 JAN","33.8"
"2003 FEB","33.8"
"2003 MAR","33.8"
"2003 APR","33.9"
"2003 MAY","34.1"
"2003 JUN","34.3"
"2003 JUL","34.4"
"2003 AUG","34.5"
"2003 SEP","34.5"
"2003 OCT","34.6"
"2003 NOV","34.7"
"2003 DEC","34.8"
"2004 JAN","35.0"
"2004 FEB","35.4"
"2004 MAR","35.9"
"2004 APR","36.2"
"2004 MAY","36.3"
"2004 JUN","36.4"
"2004 JUL","36.5"
"2004 AUG","36.6"
"2004 SEP","36.7"
"2004 OCT","37.2"
"2004 NOV","38.4"
"2004 DEC","39.7"
"2005 JAN","40.4"
"2005 FEB","40.6"
"2005 MAR","40.7"
"2005 APR","40.9"
"2005 MAY","41.0"
"2005 JUN","41.2"
"2005 JUL","41.2"
"2005 AUG","41.3"
"2005 SEP","41.8"
"2005 OCT","43.4"
"2005 NOV","45.0"
"2005 DEC","45.9"
"2006 JAN","46.3"
"2006 FEB","46.5"
"2006 MAR","48.0"
"2006 APR","51.0"
"2006 MAY","54.1"
"2006 JUN","55.6"
"2006 JUL","56.2"
"2006 AUG","56.8"
"2006 SEP","58.2"
"2006 OCT","61.0"
"2006 NOV","62.9"
"2006 DEC","64.1"
"2007 JAN","64.3"
"2007 FEB","64.5"
"2007 MAR","64.0"
"2007 APR","62.2"
"2007 MAY","60.2"
"2007 JUN","58.5"
"2007 JUL","57.2"
"2007 AUG","56.4"
"2007 SEP","56.0"
"2007 OCT","55.8"
"2007 NOV","55.8"
"2007 DEC","55.9"
"2008 JAN","56.2"
"2008 FEB","63.2"
"2008 MAR","63.2"
"2008 APR","64.5"
"2008 MAY","64.5"
"2008 JUN","64.5"
"2008 JUL","64.6"
"2008 AUG","72.1"
"2008 SEP","84.0"
"2008 OCT","84.2"
"2008 NOV","84.1"
"2008 DEC","84.1"
"2009 JAN","84.1"
"2009 FEB","84.1"
"2009 MAR","80.5"
"2009 APR","79.7"
"2009 MAY","79.7"
"2009 JUN","79.7"
"2009 JUL","79.3"
"2009 AUG","79.3"
"2009 SEP","79.3"
"2009 OCT","79.2"
"2009 NOV","79.2"
"2009 DEC","79.2"
"2010 JAN","79.3"
"2010 FEB","77.0"
"2010 MAR","77.0"
"2010 APR","74.8"
"2010 MAY","74.8"
"2010 JUN","74.8"
"2010 JUL","74.8"
"2010 AUG","74.8"
"2010 SEP","74.8"
"2010 OCT","74.8"
"2010 NOV","74.8"
"2010 DEC","78.2"
"2011 JAN","78.9"
"2011 FEB","79.2"
"2011 MAR","79.6"
"2011 APR","79.6"
"2011 MAY","79.6"
"2011 JUN","79.6"
"2011 JUL","79.6"
"2011 AUG","81.0"
"2011 SEP","91.5"
"2011 OCT","92.8"
"2011 NOV","93.7"
"2011 DEC","93.7"
"2012 JAN","93.7"
"2012 FEB","92.8"
"2012 MAR","92.4"
"2012 APR","91.9"
"2012 MAY","91.9"
"2012 JUN","91.9"
"2012 JUL","91.9"
"2012 AUG","91.9"
"2012 SEP","91.9"
"2012 OCT","91.9"
"2012 NOV","93.6"
"2012 DEC","98.6"
"2013 JAN","98.5"
"2013 FEB","99.5"
"2013 MAR","99.5"
"2013 APR","99.5"
"2013 MAY","99.5"
"2013 JUN","99.5"
"2013 JUL","99.5"
"2013 AUG","99.5"
"2013 SEP","99.5"
"2013 OCT","99.5"
"2013 NOV","99.5"
"2013 DEC","106.2"
"2014 JAN","105.2"
"2014 FEB","105.4"
"2014 MAR","105.1"
"2014 APR","104.6"
"2014 MAY","104.6"
"2014 JUN","104.6"
"2014 JUL","104.6"
"2014 AUG","104.6"
"2014 SEP","104.6"
"2014 OCT","104.6"
"2014 NOV","104.6"
"2014 DEC","104.6"
"2015 JAN","104.1"
"2015 FEB","103.4"
"2015 MAR","100.7"
"2015 APR","100.6"
"2015 MAY","100.0"
"2015 JUN","100.0"
"2015 JUL","100.0"
"2015 AUG","100.0"
"2015 SEP","97.8"
"2015 OCT","97.8"
"2015 NOV","97.8"
"2015 DEC","97.8"
"2016 JAN","97.8"
"2016 FEB","97.1"
"2016 MAR","94.6"
"2016 APR","93.3"
"2016 MAY","93.3"
"2016 JUN","93.3"
"2016 JUL","93.3"
"2016 AUG","93.3"
"2016 SEP","93.3"
"2016 OCT","93.3"
"2016 NOV","93.3"
"2016 DEC","93.3"
"2017 JAN","92.9"
"2017 FEB","92.9"
"2017 MAR","92.9"
"2017 APR","92.4"
"2017 MAY","92.8"
"2017 JUN","92.8"
"2017 JUL","93.3"
"2017 AUG","93.3"
"2017 SEP","93.3"
"2017 OCT","93.3"
"2017 NOV","93.4"
"2017 DEC","93.4"
"2018 JAN","93.5"
"2018 FEB","93.5"
"2018 MAR","93.5"
"2018 APR","93.8"
"2018 MAY","93.9"
"2018 JUN","96.2"
"2018 JUL","97.3"
"2018 AUG","97.3"
"2018 SEP","98.4"
"2018 OCT","100.4"
"2018 NOV","100.4"
"2018 DEC","100.4"
"2019 JAN","91.9"
"2019 FEB","92.0"
"2019 MAR","92.0"
"2019 APR","100.5"
"2019 MAY","100.5"
"2019 JUN","100.5"
"2019 JUL","100.5"
"2019 AUG","100.5"
"2019 SEP","100.5"
"2019 OCT","91.7"
"2019 NOV","91.7"
"2019 DEC","91.7"
"2020 JAN","91.7"
"2020 FEB","91.7"
"2020 MAR","91.7"
"2020 APR","88.4"
"2020 MAY","88.5"
"2020 JUN","88.5"
"2020 JUL","88.4"
"2020 AUG","88.4"
"2020 SEP","88.4"
"2020 OCT","77.6"
"2020 NOV","77.6"
"2020 DEC","77.6"
"2021 JAN","77.6"
"2021 FEB","77.6"
"2021 MAR","77.6"
"2021 APR","84.9"
"2021 MAY","84.9"
"2021 JUN","84.9"
"2021 JUL","84.9"
"2021 AUG","84.9"
"2021 SEP","84.9"
"2021 OCT","99.4"
"2021 NOV","99.4"
"2021 DEC","99.4"
"2022 JAN","99.5"
"2022 FEB","99.5"
"2022 MAR","99.5"
"2022 APR","165.9"
"2022 MAY","165.9"
"2022 JUN","165.9"
