"Figure 3: England house prices remain the highest in the UK",""
"Average house price by country, UK, January 2005 to April 2022",""
"",""
"Notes","1. Not seasonally adjusted.
2. [HMLR’s UK House Price Index (HPI) release on GOV.UK ](https://www.gov.uk/government/collections/uk-house-price-index-reports) is available to download.
3. Northern Ireland (NI) data are only available on a quarterly basis; Northern Ireland data will be copied forward until next quarter's data are available, which will be in the June 2022 bulletin released on 17 August 2022. 
4. Further information on the [Northern Ireland HPI publications and future release schedules](https://www.finance-ni.gov.uk/articles/northern-ireland-house-price-index) can be viewed."
"Unit","£"
"",""
"","England","Wales ","Scotland ","Northern Ireland"
"2005 Jan","158572","123815","93982","111920"
"2005 Feb","158609","121070","93554","111920"
"2005 Mar","159642","123052","96638","111920"
"2005 Apr","161336","124088","102739","116004"
"2005 May","163064","126541","103815","116004"
"2005 Jun","164069","127477","107989","116004"
"2005 Jul","165756","130529","110003","123386"
"2005 Aug","166440","131874","110101","123386"
"2005 Sep","166168","131307","110188","123386"
"2005 Oct","165637","131511","109598","127674"
"2005 Nov","166303","130826","108994","127674"
"2005 Dec","167244","129673","110714","127674"
"2006 Jan","166544","129914","109380","131302"
"2006 Feb","166896","132218","107355","131302"
"2006 Mar","168001","133581","111484","131302"
"2006 Apr","171129","134018","116209","143918"
"2006 May","172699","135043","118876","143918"
"2006 Jun","174231","138538","120454","143918"
"2006 Jul","176164","138355","122702","160529"
"2006 Aug","177603","140227","124427","160529"
"2006 Sep","178275","140180","126392","160529"
"2006 Oct","178927","139801","123482","179841"
"2006 Nov","179718","141553","125396","179841"
"2006 Dec","182031","142521","127707","179841"
"2007 Jan","181824","139760","126699","198950"
"2007 Feb","182397","143455","124280","198950"
"2007 Mar","183712","141453","129092","198950"
"2007 Apr","186711","144844","135581","216751"
"2007 May","188814","145951","138765","216751"
"2007 Jun","190822","147402","141897","216751"
"2007 Jul","193360","147245","141815","224670"
"2007 Aug","194328","150316","143287","224670"
"2007 Sep","194764","149164","142294","224670"
"2007 Oct","194700","149825","139547","214269"
"2007 Nov","194502","148509","141524","214269"
"2007 Dec","194373","147362","139736","214269"
"2008 Jan","191750","146364","138388","198362"
"2008 Feb","190066","144636","137508","198362"
"2008 Mar","188657","141503","137848","198362"
"2008 Apr","189115","141804","139328","185845"
"2008 May","189777","142749","145641","185845"
"2008 Jun","187350","141876","141555","185845"
"2008 Jul","185844","137901","139710","168076"
"2008 Aug","181494","139660","137784","168076"
"2008 Sep","177232","132625","132420","168076"
"2008 Oct","173249","133991","133839","153774"
"2008 Nov","168230","131304","129820","153774"
"2008 Dec","165795","129403","125767","153774"
"2009 Jan","162673","125021","124484","140190"
"2009 Feb","160956","124029","120994","140190"
"2009 Mar","159340","123104","125727","140190"
"2009 Apr","160701","125355","126975","141489"
"2009 May","162740","127350","130699","141489"
"2009 Jun","164536","125948","132049","141489"
"2009 Jul","167673","128279","133126","141864"
"2009 Aug","169603","128768","132658","141864"
"2009 Sep","171214","129232","131727","141864"
"2009 Oct","172314","130696","132914","141994"
"2009 Nov","172818","131131","134183","141994"
"2009 Dec","174136","132978","133037","141994"
"2010 Jan","174458","127733","128973","135701"
"2010 Feb","175248","127958","126524","135701"
"2010 Mar","174765","130677","128897","135701"
"2010 Apr","176796","131747","133162","134515"
"2010 May","177754","132483","132977","134515"
"2010 Jun","178655","131877","134249","134515"
"2010 Jul","180519","134036","135444","132164"
"2010 Aug","180807","132453","133825","132164"
"2010 Sep","180231","133167","133756","132164"
"2010 Oct","178102","133140","133750","124515"
"2010 Nov","176301","127443","131509","124515"
"2010 Dec","176036","128963","129758","124515"
"2011 Jan","174442","127771","129746","119024"
"2011 Feb","173811","127961","125916","119024"
"2011 Mar","173046","125133","126172","119024"
"2011 Apr","175490","129222","129848","117142"
"2011 May","174668","128085","129832","117142"
"2011 Jun","174838","128270","131209","117142"
"2011 Jul","177164","128564","133429","115108"
"2011 Aug","177335","129395","132518","115108"
"2011 Sep","176783","131017","131949","115108"
"2011 Oct","175171","127698","129122","111871"
"2011 Nov","175200","130415","128206","111871"
"2011 Dec","174812","127397","125924","111871"
"2012 Jan","174179","127097","125728","104712"
"2012 Feb","174161","126324","121886","104712"
"2012 Mar","174323","126231","125412","104712"
"2012 Apr","176543","128163","125134","104987"
"2012 May","177026","128349","126455","104987"
"2012 Jun","178696","129986","128361","104987"
"2012 Jul","179756","129342","127491","102086"
"2012 Aug","180129","128860","126734","102086"
"2012 Sep","179563","127952","125823","102086"
"2012 Oct","178412","126881","124617","99647"
"2012 Nov","178662","128452","123166","99647"
"2012 Dec","178406","127143","122180","99647"
"2013 Jan","176816","127584","122594","97428"
"2013 Feb","177203","125702","120180","97428"
"2013 Mar","178189","126975","121357","97428"
"2013 Apr","179900","126671","123409","99229"
"2013 May","180621","128640","125358","99229"
"2013 Jun","182088","129380","127118","99229"
"2013 Jul","184274","128501","128421","101165"
"2013 Aug","185642","130842","129781","101165"
"2013 Sep","186082","130085","127777","101165"
"2013 Oct","185358","128089","127413","101879"
"2013 Nov","186260","130029","128629","101879"
"2013 Dec","188544","128581","127018","101879"
"2014 Jan","188265","131603","127007","103570"
"2014 Feb","189347","132349","125034","103570"
"2014 Mar","190037","130464","126650","103570"
"2014 Apr","194251","132656","129596","107031"
"2014 May","196171","135527","131677","107031"
"2014 Jun","197951","135019","133444","107031"
"2014 Jul","200825","135571","135161","109116"
"2014 Aug","203406","136710","135575","109116"
"2014 Sep","203639","138218","134807","109116"
"2014 Oct","203311","136630","135016","110750"
"2014 Nov","202704","136898","133334","110750"
"2014 Dec","203346","136904","132669","110750"
"2015 Jan","202856","136148","134956","110940"
"2015 Feb","203424","135611","132572","110940"
"2015 Mar","203360","135231","139792","110940"
"2015 Apr","205936","137039","134030","114340"
"2015 May","208265","137553","135678","114340"
"2015 Jun","209874","138478","136923","114340"
"2015 Jul","213518","139213","139051","117716"
"2015 Aug","215756","140651","138564","117716"
"2015 Sep","216350","140248","138246","117716"
"2015 Oct","216676","140912","137660","118756"
"2015 Nov","218500","140974","138475","118756"
"2015 Dec","219582","141520","136702","118756"
"2016 Jan","220361","140015","136790","118851"
"2016 Feb","220627","142712","134625","118851"
"2016 Mar","222663","141617","136243","118851"
"2016 Apr","223784","141925","136446","123249"
"2016 May","226370","144296","138256","123249"
"2016 Jun","228430","146447","140234","123249"
"2016 Jul","230868","146353","142294","124730"
"2016 Aug","231176","145384","140881","124731"
"2016 Sep","230848","144976","140533","124731"
"2016 Oct","229944","146658","139631","125059"
"2016 Nov","231053","146278","140852","125059"
"2016 Dec","231922","146442","138206","125059"
"2017 Jan","231593","146395","138356","124786"
"2017 Feb","232696","145837","136011","124786"
"2017 Mar","231760","147794","136891","124786"
"2017 Apr","235021","149900","141091","127178"
"2017 May","236727","147428","142070","127178"
"2017 Jun","238595","150394","143634","127178"
"2017 Jul","241406","151028","147566","128878"
"2017 Aug","242628","152859","147234","128878"
"2017 Sep","242041","153227","144530","128878"
"2017 Oct","242003","155033","145058","129601"
"2017 Nov","241086","153109","146350","129601"
"2017 Dec","242378","153791","145235","129601"
"2018 Jan","241061","153128","146889","130292"
"2018 Feb","241989","153210","145982","130292"
"2018 Mar","240428","154022","144655","130292"
"2018 Apr","242396","153574","148427","132095"
"2018 May","243445","154756","148621","132095"
"2018 Jun","244962","156864","149960","132095"
"2018 Jul","247981","158626","151777","134619"
"2018 Aug","248620","161024","152138","134619"
"2018 Sep","248248","160265","151446","134619"
"2018 Oct","247757","160955","151528","136764"
"2018 Nov","246940","160158","149556","136764"
"2018 Dec","246380","162234","148269","136764"
"2019 Jan","244641","158548","149769","135434"
"2019 Feb","244427","159018","146892","135434"
"2019 Mar","242982","159904","149625","135434"
"2019 Apr","244662","161456","150794","136960"
"2019 May","244928","161628","151417","136960"
"2019 Jun","245846","162908","152680","136960"
"2019 Jul","248468","164440","154776","139838"
"2019 Aug","249221","168215","154195","139838"
"2019 Sep","249637","164414","154874","139838"
"2019 Oct","248842","166281","153953","140141"
"2019 Nov","247867","168516","152528","140141"
"2019 Dec","248097","166433","150287","140141"
"2020 Jan","247898","163205","153518","140722"
"2020 Feb","246739","165953","149582","140722"
"2020 Mar","249121","167040","150625","140722"
"2020 Apr","246424","160039","151779","140841"
"2020 May","247499","162701","152914","140841"
"2020 Jun","250739","167384","155329","140841"
"2020 Jul","253226","168416","154582","143723"
"2020 Aug","255802","172999","154707","143723"
"2020 Sep","258155","170030","160585","143723"
"2020 Oct","259592","175948","163019","147475"
"2020 Nov","262409","178255","164032","147475"
"2020 Dec","264971","181274","162375","147475"
"2021 Jan","266588","181118","164940","149084"
"2021 Feb","267192","179554","161847","149084"
"2021 Mar","270627","184807","167913","149084"
"2021 Apr","267500","182377","161814","154323"
"2021 May","267575","185819","168817","154323"
"2021 Jun","284446","196043","172295","154323"
"2021 Jul","268980","187278","176265","159098"
"2021 Aug","277328","192279","178502","159098"
"2021 Sep","288216","198715","179126","159098"
"2021 Oct","280457","200765","179647","159131"
"2021 Nov","286268","199527","181803","159131"
"2021 Dec ","289148","204025","178150","159131"
"2022 Jan","291644","206146","183553","164590"
"2022 Feb","295296","205542","181108","164590"
"2022 Mar","296946","207372","182424","164590"
"2022 Apr","299249","211990","187954","164590"
